temperature,humidity,occupants,ac_hours,refrigerator_hours,washing_machine_hours,tv_hours,lighting_hours,computer_hours,other_appliance_hours,previous_consumption,hour,day_of_week,month,energy_consumption
25.49080237694725,64.31975269701556,6,3.08566497588917,22.721046807085003,2.965057026057893,6.843412628247124,9.46358664077029,8.036652114133162,0.7459858522705705,14.534789446018372,11,3,2,21.52558600989471
37.01428612819832,78.32593975799918,2,9.91893483142645,23.747211359265457,3.6889988050015012,5.409315806826384,5.206038288328351,8.34980132695715,5.797623357549705,5.589127469476212,2,1,5,23.552969475865382
32.6398788362281,75.60965578740954,2,0.38616605612250887,18.946805262153994,0.1150832684778118,9.543858319312717,5.199661735051025,8.472245215496438,5.97805011230022,11.619297766775322,23,5,1,16.133294113638375
29.973169683940732,39.23399428162642,3,1.2827677246256586,20.3528395506969,3.7183902338977504e-05,7.741436197415636,2.041605577744112,4.125744265224197,3.6368791003740037,7.693308538218376,7,6,2,13.676842099255527
21.12037280884873,38.954968184488436,5,2.246387764291091,23.06484276015285,1.024970517024991,1.1559186039128866,6.178559039667131,8.892280721922075,4.698660305159689,10.48294347377275,12,2,12,16.868642578004614
21.119890406724053,46.0904620646948,1,8.111060402001595,22.841228359613275,3.4111147065262455,5.581390987920192,1.016621962561023,7.195802535455867,5.602122225310898,7.286474906500288,16,4,5,20.817744680761844
19.161672243363988,51.66448358046223,2,8.785172090640158,21.748774244003176,3.0686124085729,4.095566413956515,7.398926148004528,8.389709314183229,0.12014634281778003,11.208367742157696,19,2,5,22.615895180265902
35.3235229154987,54.50733488450896,1,0.7145138060942235,19.616211271216162,1.361109848675428,7.949356367907937,2.899085290246647,9.891913528646,5.579940145787889,6.387520518257935,9,3,7,14.534740722489675
30.022300234864176,70.78183301000072,4,0.32460141762276407,19.704211743904665,0.008045057381742993,0.4466303385743198,8.698296549232442,1.1641474213255087,3.764196826554647,8.3486162687056,14,0,5,10.959832644750573
32.161451555920905,33.40082592995012,4,7.4455685710457935,18.744017967744856,2.2188229638149086,4.107235699624281,7.288338219078872,3.705796976854081,4.970738402215699,11.214317383720251,23,3,11,20.788199501610272
18.411689885916047,32.08036225356398,5,1.3335200675361347,23.53112204271546,0.9518218858038034,3.182763153434859,8.95686010501735,8.065470207062651,3.24433363811924,2.5551883725993894,8,3,6,13.74867017385636
37.39819704323989,53.51463377663454,2,1.3299858707463919,19.037589087836672,2.9824357139993745,1.4118598457971832,8.996904842810535,0.8630347139625794,3.1832762363610985,6.265163906560396,17,1,2,11.979839434466651
34.648852816008436,71.82982152827883,3,0.2236653449442927,21.437319607079438,1.785398657530504,3.7880411531957203,2.3605085426452943,5.407810654724602,5.38510923446766,9.100401134147743,7,4,5,13.281710260622857
22.246782213565524,41.60612057738895,2,0.49807877583421867,21.506108501892676,2.7144076921906684,6.728002781844791,0.008096753839152981,8.583979589281306,3.0448320389086527,2.963757314866533,13,3,8,12.655592678846675
21.636499344142013,68.49026887537511,1,2.6367545859548915,20.217632647171612,3.409235319553161,3.6167788503252627,4.389135112712852,0.18991263208165798,2.8307362867247745,11.141038023012706,10,4,1,15.745876929046963
21.668090197068675,45.58968827641797,6,0.650054894108063,20.115110766032732,2.143039198074013,5.800065753523652,11.028830589558108,9.395188985590725,3.649132850570348,12.57273043439206,12,2,11,19.514234189439346
24.084844859190753,83.16516652881097,4,3.6887909165927555,22.011530511349676,1.3438221629131695,5.9281179593930915,6.934792615630011,9.781448239046028,3.111419886974149,4.123255024304169,15,0,10,16.891525208143285
28.495128632644757,83.741396655997,1,8.32775031227349,20.329786667691234,3.078174184060996,5.871111270580332,8.730024067500203,3.2228092970823807,2.677721736830714,11.535019013783652,13,6,7,21.190972108318913
26.638900372842315,47.83723225687959,5,3.2632025732159264,19.530692360028006,1.0607489590847115,5.2953188394420545,10.554844050282636,7.667911913900511,1.083142969366772,10.400601751885633,8,0,8,17.714620751868296
23.824582803960837,43.79962523779443,4,7.278341625793717,20.394790214400185,3.5660752644257365,1.1698823568238792,10.872698972696366,1.2717610266445145,2.384402922798808,7.341420225220368,8,2,11,18.945525510634706
30.237057894447588,54.67823832397387,3,0.9390996483103009,22.845972465993277,0.2857105869317431,2.1845592743532594,6.348301887713127,7.728642705271749,1.6922742050060633,4.144845716582524,18,1,5,12.039461759246274
20.789877213040835,44.431895110808924,4,6.593751874194929,23.798870730787115,3.3418745644341787,8.000670762509891,6.4913050189446615,4.815216808340051,2.402788359091022,14.413418709694444,4,2,4,22.74431282186748
23.842892970704362,70.34303059750222,6,3.16747183257435,21.81570138272307,0.3662229090838043,5.023654889227101,10.211266094797397,8.602730785282123,3.5589497718779057,8.032142707011795,14,5,1,17.97875171750919
25.327236865873836,79.56388107289713,2,7.497528786970381,22.692607352904638,0.22454792163926296,7.06076315836315,9.689825223480165,2.126064272762008,3.6531104225844633,4.387364879707058,10,2,9,19.499630967303403
27.12139968434072,70.38552785467303,6,1.3625201405638188,21.196949167875662,1.4530277493926436,5.699090802127617,8.386303198865345,6.726579532422394,1.431968869756252,11.336135194988799,18,5,2,17.757554507591166
33.70351922786027,79.46102683496096,6,8.97883377764482,21.748938852560627,3.826197417899312,0.3869025450023833,7.253571529395678,7.861191744158507,0.5068718796957936,9.902673422144106,5,1,11,21.75120865972333
21.993475643167194,53.819529732448444,2,2.425772028979366,23.92851994041936,3.9339442167664087,7.962137690179006,7.406581230942722,2.0249226525232764,4.46662613420498,12.610573868709281,9,6,5,18.008168979432497
